,type_kt,type_rt,type_ok,elevator,energy_class,neighborhood,price,price_per_square_meter,number_of_rooms,rooms,square_meters,year,condition,floor_num,top_floor,bottom_floor,floor_frac,lat,lng
307,1,0,0,1,F,Lauttasaari,200000,5714,1,"h, k, kph, las...",35.0,1974,2,5.0,False,False,0.7142857142857143,60.1573302,24.8772531
308,1,0,0,1,F,Ullanlinna,251000,6972,1, h ja k,36.0,1933,1,3.0,False,False,0.5,60.1584139,24.9490399
309,1,0,0,0,F,Lassila,145000,5577,1,"h, kk, kph, al...",26.0,1984,2,1.0,False,False,0.3333333333333333,60.2314319,24.879566
310,1,0,0,0,,Ullanlinna,343000,10239,1,"h, avokeitti...",33.5,1957,2,5.0,True,False,1.0,60.1584139,24.9490399
311,1,0,0,0,,Hermanni,150000,4286,1,h+k+kph,35.0,1955,2,2.0,False,False,0.5,60.1950971,24.9667755
312,1,0,0,0,E,Oulunkylä,138000,3680,1," h, kk, kph, vh",37.5,1974,1,3.0,True,False,1.0,60.2290821,24.9634242
313,1,0,0,1,F,Pitäjänmäki,140000,3333,1,h+k,42.0,1988,1,1.0,False,False,0.2,60.2229798,24.8620621
314,1,0,0,1,D2007,Kallio,167000,7767,1,"h,kk,wc/suihku",21.5,1927,1,3.0,False,False,0.6,60.18428689999999,24.9492728
315,1,0,0,0,,Puu-vallila,190000,6129,1,"h,k,kh",31.0,1913,2,2.0,True,False,1.0,60.19274110000001,24.9573351
316,1,0,0,1,D2007,Katajanokka,245000,5976,1,"h, k, kph, vh, p",41.0,1981,1,2.0,False,False,0.5,60.16623689999999,24.968161
317,1,0,0,0,D2007,Konala,101500,4614,1,h+kk,22.0,1964,1,3.0,True,False,1.0,60.2369883,24.8449882
318,1,0,0,0,,Ullanlinna,281000,7806,1,"h,k",36.0,1927,1,1.0,False,False,0.25,60.1584139,24.9490399
319,1,0,0,1,F,Alppiharju,146000,5615,1,"h, kk",26.0,1928,2,3.0,False,False,0.42857142857142855,60.1909743,24.9433007
320,1,0,0,1,E2007,Mellunmäki,109000,3759,1,"h,k,kph,parveke",29.0,1981,1,,,,,60.2372171,25.1140828
321,1,0,0,1,G,Niemenmäki,137154,4572,1,h+kk+kph+parv,30.0,1962,1,2.0,False,False,0.2857142857142857,60.2040281,24.8850165
322,1,0,0,1,E,Lauttasaari,210000,6462,1,"h, kk, p",32.5,1973,1,4.0,False,False,0.6666666666666666,60.1573302,24.8772531
323,1,0,0,0,,Kamppi,230000,9350,1,"h, kk, kph, parvi",24.6,1911,2,1.0,False,False,0.2,60.16745770000001,24.9310748
324,1,0,0,1,D2007,Ullanlinna,234000,7548,1,"h, kk, kph",31.0,1941,0,3.0,False,False,0.6,60.1584139,24.9490399
