|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
1703|tyyd.|ei|F2007|1/4|kt|Lauttasaari|260000|4727|2|h, keittiö...|55,00|1950
1704|hyvä|on|E2007|7/8|kt|Vuosaari|175000|3070|2|H+K+Parveke|57,00|1972
1705|hyvä|ei||1/1|rt|Puistola|210000|3652|2| h, k, kh, wc,...|57,50|1987
1706|tyyd.|ei|E2007|3/3|kt|Puotila|128000|2098|2|h, k, alkovi, kph|61,00|1960
1707|hyvä|on||3/6|kt|Kallio|240000|5714|2|h+kk+kh|42,00|1936
1708|tyyd.|on||6/7|kt|Keski-Töölö|301000|7167|1|-2h+avok.+alk....|42,00|1938
1709|hyvä|on||4/5|kt|Lauttasaari|280000|6364|2| h, kk, p|44,00|1961
1710|hyvä|on|D|2/3|kt|Meri-rastila|168000|3027|2|h, k, s, lasit...|55,50|1991
1711|tyyd.|on|E|1/6|kt|Lauttasaari|233000|4088|2|h,k,kph,p|57,00|1973
1712|tyyd.|ei|F2007|1/3|kt|Pohjois-haaga|236500|4113|2|h, k, kph, parv.|57,50|1955
1713|hyvä|ei|E2007|3/3|kt|Oulunkylä|194000|3129|2|h, k, kph, vh,...|62,00|1971
1714|hyvä|on|E2007|6/7|kt|Myllypuro|165500|3245|2|H+KK|51,00|1964
1715|tyyd.|ei|F2007|1/2|kt|Pukinmäki|163000|2937|2|h, avokeitti...|55,50|1989
1716|hyvä|on||5/5|kt|Aurinkolahti|363470|6433|2|h, k, s, lasit...|56,50|2016
1717|hyvä|on||6/6|kt|Taka-töölö|339000|5297|2|h, kk, kph|64,00|1939
1718|tyyd.|ei||7/7|kt|Pohjois-Meilahti|237027|6205|2|h,avokeittiö|38,20|1946
1719|huono|ei||3/4|kt|Lauttasaari|245000|4757|2|h+k|51,50|1963
1720|huono|on|F|4/4|kt|Maunula|138000|3101|2|h + k + kph + ...|44,50|1964
1721|hyvä|on|F2007|5/5|kt|Lassila|249000|4293|2|h, avok, khh, kph|58,00|1977
1722|hyvä|ei|F|2/3|kt|Vuosaari|190000|3220|2|h+k+s|59,00|1994
1723|hyvä|on|F|5/5|kt|Kamppi|352150|5969|2|h+avok+vh+kh+wc|59,00|1928
1724|tyyd.|ei||1/4|kt|Konala|125000|3125|2|h, kk, kph ja ...|40,00|1963
1725|hyvä|ei|F|1/3|kt|Vuosaari|130000|3171|2|h+kk+kph+vh+la...|41,00|1965
1726|tyyd.|ei||2/4|kt|Lauttasaari|234000|4875|2|h,kk,kph,parv....|48,00|1960
1727|hyvä|ei||2/4|kt|Lauttasaari|291000|5491|2|h+k|53,00|1951
1728|hyvä|on|E|3/5|kt|Lauttasaari|295000|5364|2|h,k,kph,vh ja ...|55,00|1955
1729|tyyd.|ei|F2007|1/1|rt|Torpparinmäki|190000|3333|2|h, avok, wc/kp...|57,00|1988
1730|hyvä|ei|E|2/4|kt|Pohjois-Meilahti|345000|5565|2|h, k, halli|62,00|1939
1731|hyvä|on|E|7/7|kt|Pohjois-Meilahti|530000|5327||llakkohuoneist...|99,50|1938
1732|tyyd.|ei|E2007|2/3|kt|Puotila|135000|2784|2|h, k, kph, p|48,50|1961
1733|tyyd.|on|E|4/7|kt|Alppiharju|210000|4158|2|h, k, kph, las...|50,50|1966
1734|tyyd.|ei|G|1/3|kt|Kannelmäki|165000|3235|2|h, k, kph, vh,...|51,00|1958
1735|tyyd.|on|F|4/7|kt|Kallio|230000|4510|2|h, kk, kh, las...|51,00|1962
1736|hyvä|ei|E2007|1/3|kt|Pohjois-haaga|236000|4627|2|h, k|51,00|1953
1737|tyyd.|on|E2007|4/4|kt|Etelä-haaga|214000|4115|2|h, k, p|52,00|1962
1738|tyyd.|on|E2007|2/5|kt|Pihlajamäki|140000|2500|2| h + k + kp + vh|56,00|1977
1739|tyyd.|on|E|3/4|kt|Kruununhaka|537500|5874|2|h+k+alkovi+s+k...|91,50|1905
1740|hyvä|ei||5/8|kt|Ruskeasuo|265000|6625|2|h+kk+iso lasit...|40,00|2006
1741|hyvä|on|E2007|7/8|kt|Munkkivuori|252000|5362|2|h, avokeitti...|47,00|1957
1742|hyvä|on|F|5/5|kt|Tali|276000|5308|2|h, avokeitti...|52,00|2011
1743|hyvä|on|D2007|3/6|kt|Etu-Töölö|540000|7268|2|h, k|74,30|1915
1744|hyvä|ei|E2007|1/3|kt|Tapanila|157000|3109|2|h, k, p|50,50|1966
1745|tyyd.|ei|G|1/4|kt|Herttoniemi|220000|4356|2|h, k, kph, las...|50,50|1956
1746|tyyd.|on|F|2/8|kt|Länsi-pasila|274000|4183|2|h, k, s, erill...|65,50|1983
1747|hyvä|on|E2007|6/6|kt|Etu-Töölö|319200|7600|2|h+avok+kph|42,00|1928
1748|hyvä|on|E2007|2/6|kt|Etu-Töölö|349600|7600|2|h+avok+vh+kph|46,00|1928
1749|hyvä|on|E2007|2/6|kt|Etu-Töölö|376200|7600|2|h+avok+kph|49,50|1928
1750|hyvä|ei|F|4/4|kt|Haaga|215000|4135|2|h, k, kph, par...|52,00|1958
1751|hyvä|ei|D|2/3|kt|Malminkartano|154109|2752|2| h + k|56,00|1990
1752|tyyd.|on|E|6/6|kt|Taka-töölö|585000|6290|2| h, halli, avo...|93,00|1937
1753|hyvä|on|E2007|7/8|kt|Pihlajamäki|118500|2926|2|h, kk|40,50|1964
1754|hyvä|on||5/5|kt|Roihuvuori|247900|4861|2|h, kk|51,00|2017
1755|huono|on|F|4/6|kt|Keski-Töölö|260000|4906|2|h+h+k+kph|53,00|1937
1756|tyyd.|ei|E|3/3|kt|Meri-rastila|160000|2735|2|-3 h, k, kph, ...|58,50|1991
1757|hyvä|ei||5/5|kt|Ullanlinna|470000|7231|2|h,k|65,00|1941
1758|tyyd.|on||3/5|kt|Sörnäinen|260000|4602|2|h, avok, kph, ...|56,50|1986
1759|tyyd.|ei|E|3/3|kt|Kurkimäki|141000|2390|2|h, k, kph, ete...|59,00|1988
1760|tyyd.|on||1/4|kt|Tapulikaupunki|139000|2317|2|h, k, kph, ter...|60,00|1978
1761|hyvä|on||3/4|kt|Maunula|175000|4279|2|h, kk, kph, p|40,90|1971
1762|tyyd.|on|D2007|3/6|kt|Taka-töölö|270000|5477|2|h, avokeitti...|49,30|1929
1763|hyvä|on|F|3/6|kt|Kaartinkaupunki|440000|7857|2|h+k+sauna|56,00|1927
1764|hyvä|ei|E| |kt|Punavuori|324000|7121|2|h, avok, kph|45,50|1907
1765|hyvä|ei|E|2/4|kt|Malmi|167000|3630|2|h+kk|46,00|1983
1766|tyyd.|ei||1/1|rt|Vuosaari|172000|3621|2|h, k, s|47,50|1989
1767|hyvä|ei|D|3/4|kt|Pajamäki|155000|2627|2|h+k+parveke|59,00|1959
1768|tyyd.|ei|E|2/4|kt|Kamppi|305000|4766|2|h+k+kph|64,00|1912
1769|tyyd.|ei||5/5|kt|Punavuori|270000|7500|2|h+kk  (yhti...|36,00|1962
1770|hyvä|ei||1/4|kt|Lauttasaari|229000|5797|2|h, kk, lasitet...|39,50|1961
1771|hyvä|on|G2007|3/5|kt|Kamppi|415000|8646|2|h+kt+wc+sh|48,00|1890
1772|huono|on|D|3/4|kt|Roihuvuori|124000|2480|2|h, k, kph|50,00|1955
1773|hyvä|ei||1/1|rt|Puistola|189000|3316|2|h+keittiö...|57,00|1989
1774|tyyd.|ei|D|1/1|rt|Vesala|171000|2714|2|h, k, s, piha|63,00|1988
1775|hyvä|ei||2/3|kt|Pohjois-Meilahti|258000|6143|2|h,k,kph,parveke|42,00|1940
1776|huono|ei||1/3|kt|Yliskylä|150000|2885|2|h, k|52,00|1975
1777|hyvä|on|D2007|5/6|kt|Kamppi|385000|7906|2|h, avok, kph, wc|48,70|1926
1778|tyyd.|on|F2007|3/5|kt|Pitäjänmäki|175000|3500|2|h+k|50,00|1988
1779|hyvä|ei|F2007|1/4|kt|Vuosaari|156000|3059|2|h, k, kph, p|51,00|1965
1780|tyyd.|ei|E|2/3|kt|Etelä-haaga|185000|3558|2|h,k,p|52,00|1964
1781|hyvä|ei||3/3|kt|Pitäjänmäki|172500|4539|2|h, avokeitti...|38,00|1956
1782|tyyd.|ei|G|1/2|kt|Pukinmäki|152500|3547|2|h,kk,patio|43,00|1985
1783|hyvä|on|A|3/5|kt|Länsi-pasila|295000|6484|2|h+avok.+s+parv...|45,50|2013
1784|tyyd.|on||4/5|kt|Etu-Töölö|347950|6959|2|h, avok|50,00|1911
1785|hyvä|on|D|3/3|kt|Malminkartano|180000|3529|2|h, kk, s, p|51,00|2008
1786|hyvä|on||4/5|kt|Roihuvuori|232900|4567|2|h, kk|51,00|2017
1787|hyvä|on|A|7/8|kt|Lauttasaari|432000|8229|2|h,k,s,p|52,50|2014
1788|tyyd.|ei|G|3/5|kt|Viikki|220000|4151|||53,00|2000
1789|hyvä|ei|F2007|1/2|kt|Herttoniemi|220000|4151|2|h,k,kh|53,00|1955
1790|hyvä|on|F2007|1/5|kt|Vallila|307000|5685|2|h,avok.,kh,las...|54,00|2013
1791|hyvä|on|D|4/4|kt|Myllypuro|141000|2564|2|h, k|55,00|1965
1792|tyyd.|on||2/4|kt|Alppila|218000|3858|2|h+k+kh|56,50|1963
1793|hyvä|on|C|4/4|kt|Viikki|261000|4619|2|h, k, kph, las...|56,50|2015
1794|hyvä|on|A|2/5|kt|Hermanni|331500|5816|2|h, kt|57,00|2013
1795|tyyd.|ei|F2007|2/2|kt|Tapaninvainio|163000|2786|2| h, k, kph/wc,...|58,50|1984
1796|hyvä|ei|G|3/4|kt|Kannelmäki|207135|3368|2|h, k, rt, kph,...|61,50|1959
1797|hyvä|on|D|5/6|kt|Lauttasaari|426000|6406|2|h+k+s|66,50|2009
1798|hyvä|ei|G|3/3|kt|Ullanlinna|513000|7225|2|h,k,halli,alko...|71,00|1912
1799|tyyd.|ei|G|3/3|kt|Etelä-haaga|166500|4382|2|h, kk, ransk.p|38,00|1955
1800|hyvä|on|E|4/4|kt|Puotinharju|138000|3247|2|h,kk,vh,kph,p|42,50|1963
1801|hyvä|on|F|2/8|kt|Kontula|137000|3114|2|h+avok.+kph|44,00|1964
1802|hyvä|on|G|5/5|kt|Kontula|115000|2500|2|h, kk|46,00|1966
1803|tyyd.|on|G|7/8|kt|Kontula|97000|2064|2|h, kk, vh, kph|47,00|1967
1804|hyvä|on|B|2/5|kt|Ullanlinna|368000|7747|2|h, kk, s, vh|47,50|2006
1805|hyvä|on||4/5|kt|Roihuvuori|237900|4665|2|h, kk|51,00|2017
1806|tyyd.|on|E2007|4/6|kt|Etu-Töölö|410531|6958|2|h+kk|59,00|1924
1807|tyyd.|on|E2007|1/3|kt|Kannelmäki|155000|2562|2| h, k, kh, vh,...|60,50|1976
1808|hyvä|on|F|3/4|kt|Länsi-pasila|252000|4165|2|h+k+kph+s+p|60,50|1982
1809|hyvä|ei|D2007|1/2|kt|Heikinlaakso|169000|2726|2|h+k+kph+las.pa...|62,00|1980
1810|hyvä|ei|F2007|1/3|kt|Mellunmäki|124000|1938|2|h+k|64,00|1968
1811|huono|on||2/7|kt|Ullanlinna|540000|6750|2|h+alkovi+keitt...|80,00|1928
1812|tyyd.|ei|D2007|2/4|kt|Ruskeasuo|193381|5372|2|h+kk|36,00|1951
1813|hyvä|on|E|3/6|kt|Kallio|256000|6244|2|h+kk|41,00|1939
1814|hyvä|ei||1/6|kt|Munkkiniemi|260338|5785|2|h,kk,alkovi,kph|45,00|1938
1815|tyyd.|on||1/3|kt|Laajasalo|160000|3441|2|h+avok+kph+s+t...|46,50|1992
1816|hyvä|on|C|2/8|kt|Herttoniemi|240500|5172|2|h, k, lasitett...|46,50|2017
1817|tyyd.|on|F|3/6|kt|Pitäjänmäki|150000|3158|2|h, k, kph, las...|47,50|1973
1818|tyyd.|ei|D2007|1/4|kt|Roihuvuori|164000|3417|2|h, k, kph, vh, p|48,00|1959
1819|hyvä|on||1/4|kt|Viikki|213939|4322|2| h, kt, p|49,50|2015
1820|hyvä|on||5/5|kt|Roihuvuori|294900|5958|2|h, kk|49,50|2017
1821| |on|D2007|4/6|kt|Pikku-huopalahti|224132|4151|2|h+k|54,00|1991
1822|hyvä|on|G|5/8|kt|Kallio|269000|4719|2|h, k, kph, vh,...|57,00|1956
1823|hyvä|ei||5/5|kt|Etu-Töölö|365000|7849|2|h+avokeitti...|46,50|1912
1824|hyvä|on||8/10|kt|Haaga|231000|4915|2| h+k+kph|47,00|1956
1825|tyyd.|on|E|3/5|kt|Mellunmäki|142000|2731|2|h+k+kph+las.pa...|52,00|1978
1826|tyyd.|ei|F|2/4|kt|Roihuvuori|173000|3145|2|h,k,vh,kh|55,00|1959
1827|hyvä|ei||1/4|kt|Puotila|250000|4386|2|h, avokeitti...|57,00|2006
1828|tyyd.|ei||3/4|kt|Ullanlinna|585000|7769|2|h, k, alkovi, ...|75,30|1908
1829|hyvä|ei||3/4|kt|Konala|131000|3011|2|h, avok, kph j...|43,50|1963
1830|tyyd.|on|C2007|3/8|kt|Pikku-huopalahti|273000|6067|2| h, kk, kph, p|45,00|2006
1831|huono|on|E2007|5/6|kt|Kamppi|291500|5949|2|h+k+kk|49,00|1974
1832|hyvä|on||5/5|kt|Roihuvuori|227900|4604|2|h, kk|49,50|2017
1833|hyvä|on||3/4|kt|Pitäjänmäki|174500|3490|2|h, avokeitti...|50,00|1988
1834|huono|ei|E|1/3|kt|Tapanila|117000|2272|2|h, k, kph, vh,...|51,50|1966
1835|huono|ei|D2007|2/3|kt|Etelä-haaga|208000|4000|2| h, k|52,00|1979
1836|tyyd.|on|E|5/6|kt|Pohjois-Meilahti|281000|5404|2|h+kk+kph+p|52,00|1941
1837|hyvä|on|D|2/3|kt|Vuosaari|179000|3346|2|h+kk+s|53,50|2002
1838|hyvä|ei|E2007|3/3|kt|Vuosaari|158000|2926|2|h,k,kph,las.pa...|54,00|1966
1839|tyyd.|on||4/4|kt|Vuosaari|147000|2625|2|h+k+kph+p+vh|56,00|1965
1840|hyvä|on|E|3/7|kt|Kallio|293000|5232|2|h+k+wc+kph|56,00|1929
1841|hyvä|on||4/7|kt|Lauttasaari|358000|5821|2|h, avok, kph/s, p|61,50|2005
1842|tyyd.|on|E|2/4|kt|Maunula|142000|4057|2|h+kk|35,00|1959
1843|tyyd.|ei||2/3|kt|Vesala|134000|3309|2|h+kk+kph+s+las...|40,50|1988
1844|hyvä|on||5/8|kt|Aurinkolahti|264000|5558|2|h, kk, sauna, ...|47,50|2001
1845|tyyd.|ei|E2007|3/3|kt|Vesala|130000|2653|2|h, kk, kph, p|49,00|1991
1846|hyvä|on|B2007|2/6|kt|Alppila|308000|6286|2|h, avok, kph/w...|49,00|2011
1847|hyvä|on|E|4/5|kt|Kamppi|455000|7143|2|h, k, kh, vh|63,70|1912
1848|tyyd.|ei|D|2/4|kt|Kruununhaka|355000|5379|2| h, kk|66,00|1909
1849|tyyd.|on|F|5/6|kt|Taka-töölö|425000|6028|2|h, k|70,50|1923
1850|hyvä|ei|F|2/4|kt|Lauttasaari|375000|5137|2|h, k, alkovi, p|73,00|1950
1851|tyyd.|on|D|4/6|kt|Pohjois-haaga|200000|4167|2|  h,  k,  rans...|48,00|1954
1852|tyyd.|ei|F|2/5|kt|Lauttasaari|250000|5208|2|h+k+kh|48,00|1955
1853|hyvä|ei|E2007|4/4|kt|Lauttasaari|240000|5854|2|h+kk+kh|41,00|1960
1854|hyvä|on|E2007|7/7|kt|Myllypuro|161500|3198|2| h+kk+kph+vh|50,50|1964
1855|hyvä|ei|E2007|3/3|kt|Vuosaari|168500|3120|2|h, k, kph, las...|54,00|1966
1856|hyvä|on||5/7|kt|Lauttasaari|335000|5929|2|h, k, kph, s, ...|56,50|2005
1857|tyyd.|on|F|4/5|kt|Pukinmäki|148000|2530|2|h,k,kph,vh,las.p|58,50|1978
1858|hyvä|on|G|6/6|kt|Ullanlinna|721000|9877|2|h, k, rt, vh, ...|73,00|1908
1859|hyvä|ei|F|1/4|kt|Maunula|135000|3068|2|h+kk|44,00|1963
1860|hyvä|on|F|4/6|kt|Pohjois-Meilahti|330000|6298||äydellise...|52,40|1940
1861|tyyd.|on|E2007|1/3|kt|Oulunkylä|197500|3376|2| h, k, s, p|58,50|1990
1862|tyyd.|on|F2007|2/7|kt|Vuosaari|130000|2203|2|h+k|59,00|1967
1863|hyvä|ei|F2007|1/4|kt|Torkkelinmäki|293000|5919|2|h, k, kph, iso vh|49,50|1928
1864|tyyd.|on|E2007|4/6|kt|Munkkivuori|235000|4700|2| h, k, kph, p|50,00|1959
1865|hyvä|on|E|1/7|kt|Arabianranta|272000|5282|2|h, avok, sauna...|51,50|2007
1866|hyvä|ei||5/7|kt|Pohjois-Meilahti|275000|6548|2|h+avokeittiö|42,00|1945
1867|hyvä|on|E|1/6|kt|Alppila|213000|6265|2| huonetta, kei...|34,00|1943
1868|hyvä|on|C|3/7|kt|Vuosaari|205400|5706|2| h, kt|36,00|2017
1869|tyyd.|on|D|4/8|kt|Pohjois-Meilahti|232500|6118|2| huonetta, kei...|38,00|1950
1870|hyvä|on||3/6|kt|Kruununhaka|331000|7043|2|h, kk, vh, kph...|47,00|1936
1871|hyvä|on|C|2/8|kt|Herttoniemi|244000|5031|2|h, kt, vh, las...|48,50|2017
1872|hyvä|on|D|3/5|kt|Herttoniemi|288000|5097|2| h, kk, s, p|56,50|2012
1873|hyvä|on||4/4|kt|Ullanlinna|436000|7717|2|h, avok, kph, ...|56,50|1978
1874|hyvä|ei|F|1/2|kt|Torpparinmäki|177000|3806|2| h, avok, kh, ...|46,50|1962
1875|tyyd.|ei|F2007|3/4|kt|Käpylä|213000|4484|2|h, k, kph, p|47,50|1952
1876|hyvä|ei|F|3/3|kt|Vuosaari|150000|3000|2|h, kk, kph, vh...|50,00|1980
1877|hyvä|on|E|1/5|kt|Pitäjänmäki|235000|4519|2|h, kk, vh, kph...|52,00|2001
1878|hyvä|on|G|5/8|kt|Kontula|126000|2172|2|h,k,kp,lasitet...|58,00|1970
1879|tyyd.|on|D2007|4/5|kt|Kruununhaka|375000|6250|2|h, avok, kph|60,00|1928
1880|huono|ei||2/4|kt|Munkkivuori|260000|4262|3|h, k, kph, par...|61,00|1958
1881|tyyd.|ei|D2007|4/4|kt|Oulunkylä|258000|4031|3|h, avokeitti...|64,00|1957
1882|tyyd.|ei|G|4/4|kt|Munkkivuori|280000|4179|3| h, k, p|67,00|1958
1883|tyyd.|on|E2007|5/6|kt|Kruununhaka|492000|6649|3|h, k, kph, s, ...|74,00|1962
1884|tyyd.|ei|D2007|2/3|kt|Veräjämäki|242000|3151|3| h, k, kph, vh...|76,80|1964
1885|tyyd.|on|G|3/6|kt|Taka-töölö|530000|5638|3|h, k, s,parvek...|94,00|1937
1886|hyvä|on||6/6|kt|Kaartinkaupunki|1005000|7643|3|-4h, k, kph, s...|131,50|1928
1887|tyyd.|on|E|1/5|kt|Konala|158000|2633|3|h+kk+parveke|60,00|1963
1888|tyyd.|on|D2007|3/4|kt|Kannelmäki|250000|3846|3|h+avok+kph+las...|65,00|1964
1889|hyvä|on|F2007|2/6|kt|Kannelmäki|224000|3223|3| h + k + s|69,50|1985
1890|tyyd.|ei|F|2/3|kt|Meri-rastila|161000|2252|3|h, k, kph + pa...|71,50|1991
1891|hyvä|on|E2007|1/4|kt|Kulosaari|357500|4931|3|h,k,kph, erill...|72,50|1974
1892|hyvä|ei|F2007|1/1|rt|Puistola|240000|3221|3|h+k+kph+s+piha|74,50|1980
1893|tyyd.|on|E|8/9|kt|Kontula|125000|1667|3|h, k, kph, wc,...|75,00|1966
1894|hyvä|on|F2013|1/4|kt|Kulosaari|460000|6133|3|h, k, kph, las...|75,00|1959
1895|hyvä|on|B2013|5/7|kt|Punavuori|553500|7380|2|-3h, kk, kph, ...|75,00|2002
1896|hyvä|on|F|2/5|kt|Vallila|416000|5104|3|h+k+s+lasitett...|81,50|2013
1897|hyvä|on||4/6|kt|Taka-töölö|635000|6480|3|h, k, kph, wc, vh|98,00|1925
1898|hyvä|on|E2007|4/4|kt|Lauttasaari|415000|6385|3|h, k, kph, p|65,00|1956
1899|hyvä|ei||6/10|kt|Munkkivuori|270000|4091|3|h, k, kph, par...|66,00|1957
1900|hyvä|on|C|6/7|kt|Aurinkolahti|370000|5324|3|h,kt,s|69,50|2017
1901|tyyd.|on|G|1/6|kt|Keski-Töölö|374000|5194|3|h+k+kph+vh+parv|72,00|1954
1902|hyvä|ei|F2007|3/4|kt|Lassila|279000|3796|3| h, k, s, eril...|73,50|1981
1903|tyyd.|ei|F|4/4|kt|Etelä-haaga|320000|4324|3| h, avok, vh, ...|74,00|1956
1904|hyvä|ei|E|3/3|kt|Tapanila|222000|2980|3|h+k+kph+s+las....|74,50|1988
1905|tyyd.|ei|F|1/2|rt|Torpparinmäki|252000|3273|3| h, k, aula, w...|77,00|1988
1906|hyvä|on|G|2/4|kt|Kruununhaka|535000|6824|3|h+k+kph+erill.wc|78,40|1913
1907|hyvä|ei|F2007|3/3|kt|Konala|202000|2971|3| h, k, p|68,00|1959
1908|hyvä|on|C|3/7|kt|Aurinkolahti|355390|5005|3|h,kt,s|71,00|2017
1909|hyvä|on|C|7/7|kt|Herttoniemi|372230|5170|3|h+kt|72,00|2019
1910|hyvä|ei|E|1/3|kt|Mellunmäki|165000|2260|3|h+k|73,00|1968
1911|hyvä|on|C|3/7|kt|Herttoniemi|334230|4517|3|h+kt+s|74,00|2019
1912|hyvä|ei||5/7|kt|Laajasalo|280000|4179|3|h,k,s, lasitet...|67,00|2009
1913|hyvä|ei|E2007|1/2|rt|Vesala|175000|2207|3|h, k, kph, s, ...|79,30|1975
1914|tyyd.|on||4/5|kt|Katajanokka|595000|7475|3|h, k, kph, wc|79,60|1908
1915|hyvä|on||1/6|kt|Vallila|411000|5170|3|h, k, kph, s, ...|79,50|2014
1916|tyyd.|on|E2015|1/4|kt|Etu-Töölö|576300|6098|3| h, k, s|94,50|1932
1917|hyvä|ei|F|4/4|kt|Oulunkylä|265000|4206|3| h, k, p|63,00|1955
1918|tyyd.|ei|F2007|1/3|kt|Oulunkylä|185000|2721|3|h, k, p|68,00|1972
1919|tyyd.|ei||3/3|kt|Lassila|199900|2835|3|h, k, kph, vh,...|70,50|1980
1920|hyvä|ei|D2007|2/4|kt|Myllypuro|192000|2494|3|h, k|77,00|1964
1921|tyyd.|ei|E|3/3|rt|Jollas|259000|3083|3|h, k, s|84,00|1983
1922|hyvä|on||1/6|kt|Munkkiniemi|345000|5316|3|h+k+kph+parv.|64,90|1950
1923|tyyd.|ei|F|3/3|kt|Kulosaari|307000|4515|3|+k+kph+parveke|68,00|1961
1924|hyvä|on||2/3|kt|Munkkivuori|366000|5014|3|h+k+kph+vh+p+e...|73,00|1958
1925|hyvä|on|C2007|3/6|kt|Vallila|343000|6294|3|h, k, s, kph, p|54,50|2011
1926|hyvä|ei||1/2|rt|Malmi|230000|3485|3|h+k+s|66,00|1984
1927|hyvä|ei|F2007|3/3|kt|Oulunkylä|225000|3309|3| h, k, p|68,00|1972
1928|tyyd.|on|D2007|4/6|kt|Pohjois-haaga|265000|3732|3|h+k|71,00|1954
1929|hyvä|on|C|4/5|kt|Roihuvuori|311900|4244|3|h, kk, s|73,50|2017
1930| |ei|D|2/3|kt|Mellunkylä|182000|2427|3|h+k|75,00|1991
1931|hyvä|on|F2014|6/7|kt|Eira|950000|8120|3|h, avok, kph, ...|117,00|2007
1932|hyvä|on|E2007|2/5|kt|Vuosaari|195000|2955|3|h, k, kph, las...|66,00|1965
1933|tyyd.|ei||2/8|kt|Niemenmäki|249000|3744|3|h,k,kph,lasite...|66,50|1962
1934|tyyd.|on|F2013|6/6|kt|Punavuori|416000|5986|3|h, keittiö...|69,50|1977
1935|hyvä|ei|E|2/3|kt|Meri-rastila|172500|2315|3|h, k|74,50|1991
1936|tyyd.|on|F2007|12/14|kt|Merihaka|256000|4876|3|h,k,lasitettu ...|52,50|1974
1937|hyvä|ei|G2007|3/3|kt|Pohjois-haaga|302000|4719|3|h, k|64,00|1954
1938|tyyd.|on|C2007|5/7|kt|Etu-Töölö|560000|5957|3| h, k, halli, ...|94,00|1927
1939|hyvä|on|F2013|4/4|kt|Herttoniemi|565000|5855|3|h, k, kph, sau...|96,50|2001
1940|tyyd.|ei||1/2|rt|Vesala|225000|3125|3|h,kt,rt,kph,s,...|72,00|1993
1941|hyvä|ei||1/2|rt|Vartiokylä|220000|3056|3|h, avok, kph/w...|72,00|1992
1942|hyvä|ei||1/7|kt|Vanhankaupunginkoski, viikinranta|346300|4648|3|h,kt,kph,s,las...|74,50|2007
1943|tyyd.|on|G|4/8|kt|Kontula|118000|1553|3|-4h+k+kph+wc+l...|76,00|1968
1944|hyvä|ei||3/3|kt|Etelä-haaga|263000|4383|3|h, avokeitti...|60,00|1964
1945|hyvä|on|A2007|4/5|kt|Oulunkylä|325000|4887|3|h,avok,s,parveke|66,50|2013
1946|hyvä|on|C|6/6|kt|Roihuvuori|289900|4295|3|h, kt|67,50|2017
1947|tyyd.|ei|G|1/4|kt|Kontula|130000|1745|3|h+k+kph+wc+2 x...|74,50|1967
1948|hyvä|ei|D2007|2/3|kt|Katajanokka|454900|6065|3|h+k (yhtiö...|75,00|1906
1949|hyvä|on|C|2/5|kt|Viikki|220000|4400|3|h+kt+kph|50,00|2017
1950|huono|on|G2007|3/8|kt|Kontula|116000|1526|3|-4 h, k, kh, w...|76,00|1968
1951|hyvä|ei||1/1|rt|Sepänmäki|247000|2807|3|h+k+s|88,00|1989
1952|huono|on|G|3/8|kt|Kontula|148526|2496|3|h+k|59,50|1966
1953|hyvä|ei|E2007|1/3|kt|Patola|162000|2118|3| h, k, kh, wc, p|76,50|1972
1954|hyvä|ei||3/3|kt|Oulunkylä|269000|3956|3|h, k, kph, las...|68,00|1972
1955|hyvä|on|E|3/7|kt|Kamppi|327500|5647|3|h, k|58,00|1932
1956|hyvä|ei||1/2|rt|Itä-pakila|315000|3938|3|h,k,kph,vh|80,00|1939
1957|hyvä|on|F2013|2/3|kt|Ullanlinna|957000|8591|3|h, k, kph, eri...|111,40|1906
1958|hyvä|on|D|4/6|kt|Aurinkolahti|330000|4490|3|h, k, s, lasit...|73,50|2005
1959|hyvä|on||5/6|kt|Hakaniemi|405000|6328|3|h, avokeitti...|64,00|1993
1960|hyvä|ei|G|2/3|kt|Etelä-haaga|335000|5000|3| h, k, parveke|67,00|1955
1961|tyyd.|ei|F2013|1/3|kt|Oulunkylä|289000|4188|3|h, k, kph, vh,...|69,00|1963
1962|hyvä|on||2/6|kt|Kallio|410000|5816|3|h+avok+kph+vh+...|70,50|1961
1963|hyvä|on|F|1/6|kt|Vuosaari|179000|2486|3|h,k,s,terassipiha|72,00|1995
1964|tyyd.|on|F|2/5|kt|Pukinmäki|211500|2839|3|h, avok, lasit...|74,50|1976
1965|huono|ei|F2013|2/4|kt|Lassila|220000|2914|3|h, k, kph, s, ...|75,50|1981
1966|hyvä|on||5/6|kt|Etu-Töölö|505000|6392|3|h+avok.+kph/kh...|79,00|1936
1967|hyvä|on|E2007|5/6|kt|Keski-Töölö|488000|6138|3|h, avokeitti...|79,50|1927
1968|tyyd.|ei|D|1/3|kt|Pohjois-haaga|210000|2593|3|h+k|81,00|1972
1969|hyvä|on|F2013|3/5|kt|Etu-Töölö|571000|6798|3| h, avokeitti&...|84,00|1920
1970|tyyd.|ei||1/2|rt|Vartioharju|251000|2758|3|h,kt,kph,s,las...|91,00|1985
1971|hyvä|on|E2007|6/7|kt|Kamppi|760000|7917|3| h, k, kph, er...|96,00|1938
1972|tyyd.|ei||-1/2|rt|Reimarla|318000|2650|3|h, k, s, askh,...|120,00|1984
