|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
165|hyvä|on|F|1/5|kt|Lauttasaari|204000|6915|1|h,kk,kph|29,50|1954
166|hyvä|on||4/4|kt|Kulosaari|189000|6097|1|h+kk|31,00|1961
167|hyvä|on|D2007|4/4|kt|Lassila|147000|4523|1|h, kk, kph, la...|32,50|1981
168|tyyd.|on||3/5|kt|Pitäjänmäki|123000|3672|1|h, k, kph, piha|33,50|1988
169|hyvä|on||5/6|kt|Roihuvuori|184900|5136|1|h, kt|36,00|2017
170|hyvä|on||5/6|kt|Roihuvuori|198900|5525|1|h, kt|36,00|2017
172|hyvä|ei|F|3/3|kt|Kannelmäki|130000|5652|1|h+kk|23,00|1961
173|hyvä|ei|G|1/5|kt|Punavuori|233000|9708|1|h,k,kph,parvi|24,00|1906
174|tyyd.|on|D2007|3/7|kt|Kallio|190000|7422|1| h, kk|25,60|1927
175|huono|ei|G|2/3|kt|Kontula|89000|3179|1|h+kk+kh|28,00|1967
176|tyyd.|on|F|4/4|kt|Kulosaari|169000|6036|1| h, kk|28,00|1960
177|hyvä|on||4/6|kt|Kaartinkaupunki|333000|9000|1|h, alkovi, avo...|37,00|1907
178|hyvä|ei|E2007|3/3|kt|Kannelmäki|140000|5714|1|h, kk ja kph|24,50|1961
179|hyvä|on|G|2/2|kt|Lauttasaari|182000|7000|1| h, avok, kph,...|26,00|1960
180|hyvä|on|E|6/6|kt|Kallio|203000|7250|1|h+kk+kph+vh|28,00|1960
181|tyyd.|ei|D|2/6|kt|Taka-töölö|286000|5837|1| H+K|49,00|1910
182|hyvä|on|F|4/4|kt|Lauttasaari|212000|7852|1|h, kk, kh|27,00|1956
183|hyvä|ei||2/2|kt|Lauttasaari|210000|6364|1|h, kk, kph, p|33,00|1970
184|tyyd.|on|F|3/6|kt|Taka-töölö|171577|8289|1| h, kk, kh|20,70|1937
185|hyvä|on|E2007|3/4|kt|Viikki|183000|5014|1|h, kt, kph, p|36,50|2008
186|hyvä|on|G|5/6|kt|Kallio|265000|4569|1|h, avok, sauna|58,00|1937
187|hyvä|on|E2007|3/4|kt|Lehtisaari|168000|5793|1|h, avokeitti...|29,00|1966
188|tyyd.|on|E2007|8/8|kt|Pihlajamäki|134000|3884|1|h, kk, kph, pa...|34,50|1963
189|hyvä|on|F|4/5|kt|Vallila|239400|6650|1|h,avok,kh,lasi...|36,00|2013
190|hyvä|on|G|2/4|kt|Kallio|260000|5714|1|h, k, et, vh j...|45,50|1928
191|tyyd.|on||5/8|kt|Alppiharju|201000|6814|1|h, kk, kph, la...|29,50|1962
192|tyyd.|on|G|4/6|kt|Harju|164000|6308|1| h+kk|26,00|1936
193|tyyd.|on|G2007|6/6|kt|Taka-töölö|170000|9189|1|h+kk+kph|18,50|1938
194|hyvä|ei|F|1/4|kt|Konala|100000|3226|1|h + kk + kylpy...|31,00|1962
195|hyvä|ei|F|1/3|kt|Toukola|180000|6667|1|h, avokeitti...|27,00|1954
196|hyvä|ei||3/3|kt|Kivihaka|165000|5690|1|h,k, lasitettu...|29,00|1978
197|hyvä|ei||3/3|kt|Oulunkylä|148500|4368|1|h, kk, vh, kph|34,00|1971
198|tyyd.|ei|C|2/3|kt|Pihlajamäki|108000|4000|1|h, pienoiskeit...|27,00|1964
199|hyvä|ei|F|3/3|kt|Malmi|159000|5300|1|h, kk, kph, sa...|30,00|1983
200|tyyd.|on|F|2/4|kt|Vallila|169000|7042|1| h, kk, alkovi...|24,00|1938
201|huono|ei|F|4/4|kt|Alppila|164000|6074|1|h+kk|27,00|1928
202|hyvä|on|F|2/7|kt|Vallila|164000|5857|1|h, avok, kph|28,00|1928
203|hyvä|on||5/6|kt|Kallio|200000|6780|1|h+avok.+kph|29,50|1914
204|hyvä|ei||2/5|kt|Kallio|153000|6955|1|h+avok.+parvi+kph|22,00|1913
205|tyyd.|on|G|2/4|kt|Lauttasaari|180000|6923|1| h, kk, kph, r...|26,00|1960
206|hyvä|on||5/7|kt|Kallio|171000|6477|1|h+avok.+kph|26,40|1930
207|tyyd.|on|E2007|1/5|kt|Etu-Töölö|200000|6250|1|h+k|32,00|1911
208|hyvä|on|F2007|4/8|kt|Kallio|215000|6399|1|h, alk, avok, kph|33,60|1927
209|hyvä|on|F|4/7|kt|Alppiharju|143000|5720|1|h,kk,kh|25,00|1928
210|hyvä|on|F|4/7|kt|Kallio|285000|5700|1|h+k+alkovi+kph...|50,00|1926
211|hyvä|on||4/6|kt|Vuosaari|125000|3906|1|h+k+parveke|32,00|1971
212| |on|G|4/4|kt|Kontula|84600|2350|1|h+k+kh|36,00|1966
213|tyyd.|on|D|5/6|kt|Etu-Töölö|209000|8708|1| h + avokeitti...|24,00|1935
214|tyyd.|on|F|5/7|kt|Alppila|196000|7259|1|h, kk|27,00|1927
215|tyyd.|ei|D2007|2/4|kt|Pohjois-haaga|152500|5865|1|h, kk, kph|26,00|1957
216|hyvä|on|F|7/7|kt|Vallila|157000|6280|1|h, avok, kph|25,00|1928
217|tyyd.|on|G|1/5|kt|Laajasalo|145000|5800|1|h, kk|25,00|1966
218|tyyd.|on|E|4/5|kt|Munkkisaari|221050|8187|1|h, kk, kph|27,00|1961
219|tyyd.|ei|E|3/5|kt|Ullanlinna|292000|9125|1|h, k, kph|32,00|1927
220|tyyd.|on||2/4|kt|Maunula|127000|3681|1|h+alkovi+kph+kk|34,50|1972
221|hyvä|on||5/6|kt|Alppiharju|183000|8318|1|h+kt+kph|22,00|1946
222|huono|on||3/8|kt|Sörnäinen|165000|5690|1|h, alkovi, kk,...|29,00|1937
223|hyvä|ei||2/4|kt|Kulosaari|187000|6032|1|h,kk|31,00|1961
224|hyvä|ei||4/4|kt|Lassila|157000|4758|1|h, alkovi, kk,...|33,00|1981
225|hyvä|on|E2007|1/5|kt|Viikinmäki|162000|4320|1|h, kk, sauna, ...|37,50|2001
226|hyvä|on|D|7/8|kt|Punavuori|336000|8400|1|h, kk, vh, las...|40,00|2000
227|hyvä|on|G2007|6/6|kt|Kruununhaka|487284|7383|1|-2 h+avokeitti...|66,00|1902
228|tyyd.|on||5/7|kt|Torkkelinmäki|135000|6750|1| h + kk + wc/s...|20,00|1938
229|hyvä|ei||2/6|kt|Taka-töölö|215000|7963|1|h+kk+kph|27,00|1922
230|hyvä|on|E2012|6/6|kt|Kallio|215000|7679|1|h, avok, kph|28,00|1929
231|hyvä|on||8/8|kt|Vuosaari|142750|3911|1|h+k|36,50|1969
232|tyyd.|on|G|1/6|kt|Punavuori|167000|6958|1|h+kk+kph|24,00|1963
233|hyvä|on||6/7|kt|Herttoniemi|158000|5745|1|h, kk, kph|27,50|1956
234|tyyd.|ei|E2007|2/4|kt|Vallila|150000|3750|1|h+k+wc+suihku|40,00|1925
235|hyvä|on||2/7|kt|Sörnäinen|197200|7585|1|h+kk|26,00|1927
236|hyvä|ei||3/4|kt|Vallila|182000|6169|1|h, k, kph|29,50|1940
237|hyvä|on|D2007|4/4|kt|Munkkiniemi|215000|7167|1| h + avokeitti...|30,00|1940
238|tyyd.|on|D2007|3/4|kt|Niemenmäki|178000|5477|1|h,k|32,50|1962
239|hyvä|ei|G|1/4|kt|Herttoniemi|170000|5183|1|h, avok, kh|32,80|1955
240|tyyd.|on|F|5/7|kt|Sörnäinen|218000|6056|1|h, keittiö...|36,00|1929
241|hyvä|ei||5/6|kt|Sörnäinen|160000|5926|1|h+kk|27,00|1911
242|hyvä|ei|D2007|2/4|kt|Etelä-haaga|178000|5742|1|h+kk+kh|31,00|1959
243|tyyd.|ei||4/7|kt|Kallio|187000|5899|1|h,avok,kph|31,70|1930
244|hyvä|ei|F2007|3/3|kt|Vuosaari|120000|3429|1|h,kk,kph|35,00|1965
245|hyvä|on|D|3/4|kt|Konala|182000|4727|1|h, tupak., kph...|38,50|2012
246|hyvä|on|F|7/7|kt|Kallio|180000|7500|1|h, kk|24,00|1945
247|hyvä|ei|F|1/4|kt|Malmi|162000|5063|1| h, kk, kh, s, vh|32,00|1985
248|hyvä|on|C|1/7|kt|Jätkäsaari|395000|10000|1|h + kt + kph +...|39,50|2016
249|hyvä|on|F|4/14|kt|Merihaka|218000|6412|1|h+avok.+kph+la...|34,00|1974
250|tyyd.|ei|G|2/4|kt|Pohjois-haaga|146000|5615|1| h, kk|26,00|1957
251|hyvä|on||2/8|kt|Laakso|200000|7018|1|h, avokeitti...|28,50|1950
252|hyvä|on|E|2/6|kt|Sörnäinen|174000|6000|1|h+kk+alkovi+kph|29,00|1937
253|tyyd.|on|G|5/6|kt|Itä-pasila|150500|4561|1|h+kk+kh|33,00|1974
254|tyyd.|on||2/6|kt|Taka-töölö|210000|5526|1|h, avok, kph|38,00|1930
